                x            Retst            utau*        thetatau*              <r>             <mu>              <u>              {u}              <p>              <T>              {T}             <rr>           {u"u"}           {v"v"}           {w"w"}           {u"w"}             <pp>           {T"T"}              pw"
   0.24758814E-01   0.47042658E+03   0.48688708E-01   0.17506545E+00   0.12168233E+01   0.12594006E-03   0.54578647E+00   0.53118643E+00   0.19759981E+00   0.20680620E+01   0.20461127E+01   0.18344314E-01   0.29481938E-03   0.24112030E-02   0.21455616E-01  -0.11287776E-02   0.43865772E-04   0.46017305E-01   0.74120550E-04
   0.25922646E-01   0.46512610E+03   0.48916447E-01   0.17588431E+00   0.12055194E+01   0.12678223E-03   0.55892336E+00   0.54441962E+00   0.19756621E+00   0.20864390E+01   0.20649475E+01   0.17557765E-01   0.32621542E-03   0.25061674E-02   0.21873297E-01  -0.11931493E-02   0.44024362E-04   0.45510520E-01   0.74651808E-04
   0.27102826E-01   0.46019613E+03   0.49132180E-01   0.17666000E+00   0.11949561E+01   0.12757777E-03   0.57155557E+00   0.55717817E+00   0.19753029E+00   0.21038304E+01   0.20828227E+01   0.16802213E-01   0.35923253E-03   0.25995332E-02   0.22233631E-01  -0.12559611E-02   0.44194235E-04   0.44914324E-01   0.75190641E-04
   0.28299563E-01   0.45560605E+03   0.49336462E-01   0.17739452E+00   0.11850809E+01   0.12832951E-03   0.58369991E+00   0.56947632E+00   0.19749375E+00   0.21202923E+01   0.20997901E+01   0.16076238E-01   0.39384925E-03   0.26911561E-02   0.22538535E-01  -0.13170765E-02   0.44382261E-04   0.44241157E-01   0.75879631E-04
   0.29513069E-01   0.45132494E+03   0.49530190E-01   0.17809108E+00   0.11758286E+01   0.12904010E-03   0.59537336E+00   0.58132730E+00   0.19745496E+00   0.21358782E+01   0.21158972E+01   0.15380719E-01   0.43000630E-03   0.27808973E-02   0.22790228E-01  -0.13763515E-02   0.44580142E-04   0.43502588E-01   0.76591426E-04
   0.30743558E-01   0.44732848E+03   0.49713823E-01   0.17875136E+00   0.11671581E+01   0.12971205E-03   0.60659291E+00   0.59274584E+00   0.19741566E+00   0.21506387E+01   0.21311914E+01   0.14713941E-01   0.46766827E-03   0.28686352E-02   0.22991084E-01  -0.14337101E-02   0.44793635E-04   0.42709165E-01   0.77453382E-04
   0.31991244E-01   0.44359132E+03   0.49888172E-01   0.17937825E+00   0.11590144E+01   0.13034770E-03   0.61737551E+00   0.60374552E+00   0.19737423E+00   0.21646218E+01   0.21457156E+01   0.14076361E-01   0.50676447E-03   0.29542608E-02   0.23143708E-01  -0.14890644E-02   0.45015331E-04   0.41870633E-01   0.78345539E-04
   0.33256347E-01   0.44009400E+03   0.50053614E-01   0.17997311E+00   0.11513653E+01   0.13094928E-03   0.62773788E+00   0.61434114E+00   0.19733241E+00   0.21778727E+01   0.21595130E+01   0.13466144E-01   0.54724641E-03   0.30376851E-02   0.23250746E-01  -0.15423866E-02   0.45250076E-04   0.40995737E-01   0.79381860E-04
   0.34539086E-01   0.43681555E+03   0.50210884E-01   0.18053859E+00   0.11441640E+01   0.13151887E-03   0.63769653E+00   0.62454625E+00   0.19728859E+00   0.21904345E+01   0.21726223E+01   0.12883466E-01   0.58903365E-03   0.31188358E-02   0.23315010E-01  -0.15936332E-02   0.45491227E-04   0.40092505E-01   0.80450346E-04
   0.35839682E-01   0.43374033E+03   0.50360285E-01   0.18107578E+00   0.11373854E+01   0.13205840E-03   0.64726762E+00   0.63437538E+00   0.19724451E+00   0.22023474E+01   0.21850825E+01   0.12326477E-01   0.63206666E-03   0.31976600E-02   0.23339259E-01  -0.16428117E-02   0.45742863E-04   0.39168017E-01   0.81653211E-04
   0.37158360E-01   0.43085082E+03   0.50502488E-01   0.18158708E+00   0.11309892E+01   0.13256971E-03   0.65646697E+00   0.64384181E+00   0.19719861E+00   0.22136498E+01   0.21969285E+01   0.11795158E-01   0.67625763E-03   0.32741227E-02   0.23326352E-01  -0.16899107E-02   0.45998966E-04   0.38228735E-01   0.82887071E-04
   0.38495346E-01   0.42813438E+03   0.50637731E-01   0.18207337E+00   0.11249560E+01   0.13305453E-03   0.66530997E+00   0.65295961E+00   0.19715259E+00   0.22243776E+01   0.22081954E+01   0.11287710E-01   0.72153836E-03   0.33482048E-02   0.23279027E-01  -0.17349614E-02   0.46262972E-04   0.37280251E-01   0.84243623E-04
   0.39850869E-01   0.42557626E+03   0.50766626E-01   0.18253682E+00   0.11192508E+01   0.13351446E-03   0.67381162E+00   0.66174160E+00   0.19710491E+00   0.22345648E+01   0.22189146E+01   0.10803984E-01   0.76781657E-03   0.34199037E-02   0.23200067E-01  -0.17779740E-02   0.46529452E-04   0.36327633E-01   0.85628266E-04
   0.41225157E-01   0.42316620E+03   0.50889360E-01   0.18297813E+00   0.11138585E+01   0.13395103E-03   0.68198645E+00   0.67020131E+00   0.19705727E+00   0.22442434E+01   0.22291176E+01   0.10342268E-01   0.81501811E-03   0.34892267E-02   0.23092076E-01  -0.18189940E-02   0.46801316E-04   0.35375167E-01   0.87123088E-04
   0.42618445E-01   0.42089164E+03   0.51006491E-01   0.18339928E+00   0.11087487E+01   0.13436565E-03   0.68984860E+00   0.67835104E+00   0.19700816E+00   0.22534437E+01   0.22388327E+01   0.99023261E-02   0.86304828E-03   0.35561947E-02   0.22957665E-01  -0.18580456E-02   0.47073609E-04   0.34426707E-01   0.88641823E-04
   0.44030966E-01   0.41874424E+03   0.51118162E-01   0.18380081E+00   0.11039097E+01   0.13475967E-03   0.69741177E+00   0.68620371E+00   0.19695924E+00   0.22621940E+01   0.22480882E+01   0.94825670E-02   0.91182884E-03   0.36208328E-02   0.22799230E-01  -0.18951827E-02   0.47348823E-04   0.33485436E-01   0.90257181E-04
   0.45462957E-01   0.41671324E+03   0.51224883E-01   0.18418453E+00   0.10993148E+01   0.13513434E-03   0.70468924E+00   0.69377112E+00   0.19690904E+00   0.22705213E+01   0.22569095E+01   0.90827176E-02   0.96126462E-03   0.36831766E-02   0.22619159E-01  -0.19304398E-02   0.47622414E-04   0.32554222E-01   0.91890044E-04
   0.46914656E-01   0.41479182E+03   0.51326761E-01   0.18455085E+00   0.10949551E+01   0.13549085E-03   0.71169388E+00   0.70106554E+00   0.19685918E+00   0.22784509E+01   0.22653218E+01   0.87013286E-02   0.10112748E-02   0.37432606E-02   0.22419616E-01  -0.19638767E-02   0.47896577E-04   0.31635374E-01   0.93603843E-04
   0.48386304E-01   0.41297073E+03   0.51424262E-01   0.18490142E+00   0.10908069E+01   0.13583030E-03   0.71843815E+00   0.70809823E+00   0.19680823E+00   0.22860065E+01   0.22733480E+01   0.83381092E-02   0.10617643E-02   0.38011260E-02   0.22202755E-01  -0.19955361E-02   0.48167148E-04   0.30730961E-01   0.95325503E-04
   0.49878145E-01   0.41124439E+03   0.51517461E-01   0.18523653E+00   0.10868638E+01   0.13615374E-03   0.72493411E+00   0.71488079E+00   0.19675777E+00   0.22932106E+01   0.22810106E+01   0.79917401E-02   0.11126501E-02   0.38568074E-02   0.21970509E-01  -0.20254816E-02   0.48436041E-04   0.29842574E-01   0.97109606E-04
   0.51390421E-01   0.40960478E+03   0.51606785E-01   0.18555771E+00   0.10831046E+01   0.13646214E-03   0.73119336E+00   0.72142387E+00   0.19670641E+00   0.23000843E+01   0.22883301E+01   0.76619126E-02   0.11638379E-02   0.39103441E-02   0.21724792E-01  -0.20537614E-02   0.48699403E-04   0.28971621E-01   0.98888802E-04
   0.52923382E-01   0.40804737E+03   0.51692281E-01   0.18586511E+00   0.10795248E+01   0.13675642E-03   0.73722714E+00   0.72773841E+00   0.19665570E+00   0.23066474E+01   0.22953264E+01   0.73474282E-02   0.12152437E-02   0.39617670E-02   0.21467308E-01  -0.20804401E-02   0.48958905E-04   0.28119119E-01   0.10070995E-03
   0.54477274E-01   0.40656518E+03   0.51774341E-01   0.18616017E+00   0.10761055E+01   0.13703744E-03   0.74304623E+00   0.73383438E+00   0.19660428E+00   0.23129185E+01   0.23020178E+01   0.70479708E-02   0.12667740E-02   0.40111128E-02   0.21199742E-01  -0.21055685E-02   0.49210920E-04   0.27285964E-01   0.10251101E-03
   0.56052349E-01   0.40515452E+03   0.51852987E-01   0.18644295E+00   0.10728437E+01   0.13730601E-03   0.74866101E+00   0.73972199E+00   0.19655365E+00   0.23189151E+01   0.23084220E+01   0.67624612E-02   0.13183440E-02   0.40584112E-02   0.20923588E-01  -0.21292103E-02   0.49456926E-04   0.26472751E-01   0.10433238E-03
   0.57648859E-01   0.40380934E+03   0.51928579E-01   0.18671475E+00   0.10697225E+01   0.13756287E-03   0.75408143E+00   0.74541052E+00   0.19650251E+00   0.23246536E+01   0.23145551E+01   0.64905959E-02   0.13698626E-02   0.41037016E-02   0.20640336E-01  -0.21514194E-02   0.49693520E-04   0.25680023E-01   0.10611740E-03
   0.59267060E-01   0.40252665E+03   0.52001116E-01   0.18697556E+00   0.10667403E+01   0.13780872E-03   0.75931700E+00   0.75090939E+00   0.19645231E+00   0.23301491E+01   0.23204328E+01   0.62314088E-02   0.14212452E-02   0.41470175E-02   0.20351305E-01  -0.21722588E-02   0.49921996E-04   0.24908079E-01   0.10790134E-03
   0.60907208E-01   0.40130116E+03   0.52070930E-01   0.18722659E+00   0.10638817E+01   0.13804423E-03   0.76437681E+00   0.75622714E+00   0.19640178E+00   0.23354162E+01   0.23260691E+01   0.59846139E-02   0.14724041E-02   0.41884047E-02   0.20057820E-01  -0.21917842E-02   0.50139136E-04   0.24157208E-01   0.10963302E-03
   0.62569562E-01   0.40013051E+03   0.52138000E-01   0.18746775E+00   0.10611463E+01   0.13827000E-03   0.76926951E+00   0.76137236E+00   0.19635232E+00   0.23404680E+01   0.23314779E+01   0.57493523E-02   0.15232574E-02   0.42279050E-02   0.19761059E-01  -0.22100581E-02   0.50346156E-04   0.23427500E-01   0.11134411E-03
   0.64254381E-01   0.39901004E+03   0.52202632E-01   0.18770014E+00   0.10585203E+01   0.13848661E-03   0.77400331E+00   0.76635284E+00   0.19630272E+00   0.23453170E+01   0.23366714E+01   0.55253410E-02   0.15737224E-02   0.42655743E-02   0.19462193E-01  -0.22271351E-02   0.50539984E-04   0.22719033E-01   0.11298978E-03
   0.65961930E-01   0.39793790E+03   0.52264792E-01   0.18792364E+00   0.10560040E+01   0.13869458E-03   0.77858600E+00   0.77117638E+00   0.19625431E+00   0.23499749E+01   0.23416619E+01   0.53117951E-02   0.16237227E-02   0.43014648E-02   0.19162239E-01  -0.22430727E-02   0.50721766E-04   0.22031689E-01   0.11459970E-03
   0.67692471E-01   0.39690996E+03   0.52324762E-01   0.18813927E+00   0.10535848E+01   0.13889441E-03   0.78302499E+00   0.77585008E+00   0.19620592E+00   0.23544525E+01   0.23464601E+01   0.51084274E-02   0.16731835E-02   0.43356396E-02   0.18862181E-01  -0.22579197E-02   0.50888666E-04   0.21365325E-01   0.11613500E-03
   0.69446271E-01   0.39592474E+03   0.52382498E-01   0.18834686E+00   0.10512636E+01   0.13908656E-03   0.78732734E+00   0.78038110E+00   0.19615884E+00   0.23587602E+01   0.23510769E+01   0.49145146E-02   0.17220356E-02   0.43681482E-02   0.18562824E-01  -0.22717244E-02   0.51041930E-04   0.20719616E-01   0.11762403E-03
   0.71223598E-01   0.39497855E+03   0.52438263E-01   0.18854737E+00   0.10490288E+01   0.13927148E-03   0.79149979E+00   0.78477598E+00   0.19611193E+00   0.23629076E+01   0.23555219E+01   0.47297708E-02   0.17702139E-02   0.43990394E-02   0.18264923E-01  -0.22845295E-02   0.51178977E-04   0.20094226E-01   0.11903312E-03
   0.73024721E-01   0.39407023E+03   0.52492004E-01   0.18874061E+00   0.10468819E+01   0.13944959E-03   0.79554878E+00   0.78904132E+00   0.19606642E+00   0.23669036E+01   0.23598047E+01   0.45535497E-02   0.18176582E-02   0.44283408E-02   0.17969075E-01  -0.22963776E-02   0.51301156E-04   0.19488690E-01   0.12038857E-03
   0.74849913E-01   0.39319647E+03   0.52543970E-01   0.18892745E+00   0.10448122E+01   0.13962125E-03   0.79948046E+00   0.79318314E+00   0.19602120E+00   0.23707569E+01   0.23639340E+01   0.43855972E-02   0.18643143E-02   0.44560794E-02   0.17675853E-01  -0.23073094E-02   0.51406212E-04   0.18902568E-01   0.12165976E-03
   0.76699447E-01   0.39235635E+03   0.52594101E-01   0.18910770E+00   0.10428214E+01   0.13978684E-03   0.80330071E+00   0.79720750E+00   0.19597745E+00   0.23744753E+01   0.23679183E+01   0.42253508E-02   0.19101320E-02   0.44822687E-02   0.17385719E-01  -0.23173668E-02   0.51495727E-04   0.18335337E-01   0.12287024E-03
   0.78573597E-01   0.39154689E+03   0.52642627E-01   0.18928219E+00   0.10408997E+01   0.13994670E-03   0.80701518E+00   0.80111995E+00   0.19593411E+00   0.23780665E+01   0.23717652E+01   0.40725863E-02   0.19550661E-02   0.45069324E-02   0.17099141E-01  -0.23265915E-02   0.51567840E-04   0.17786514E-01   0.12399117E-03
   0.80472640E-01   0.39076743E+03   0.52689485E-01   0.18945067E+00   0.10390492E+01   0.14010115E-03   0.81062925E+00   0.80492606E+00   0.19589229E+00   0.23815374E+01   0.23754821E+01   0.39268139E-02   0.19990750E-02   0.45300897E-02   0.16816509E-01  -0.23350256E-02   0.51624299E-04   0.17255571E-01   0.12504294E-03
   0.82396855E-01   0.39001527E+03   0.52734890E-01   0.18961393E+00   0.10372607E+01   0.14025048E-03   0.81414811E+00   0.80863096E+00   0.19585095E+00   0.23848946E+01   0.23790759E+01   0.37878344E-02   0.20421240E-02   0.45517690E-02   0.16538234E-01  -0.23427108E-02   0.51663529E-04   0.16742028E-01   0.12599812E-03
   0.84346521E-01   0.38928991E+03   0.52778774E-01   0.18977172E+00   0.10355365E+01   0.14039498E-03   0.81757679E+00   0.81223985E+00   0.19581118E+00   0.23881444E+01   0.23825532E+01   0.36552092E-02   0.20841800E-02   0.45719857E-02   0.16264647E-01  -0.23496873E-02   0.51687442E-04   0.16245352E-01   0.12687480E-03
   0.86321920E-01   0.38858889E+03   0.52821342E-01   0.18992477E+00   0.10338681E+01   0.14053490E-03   0.82092009E+00   0.81575751E+00   0.19577196E+00   0.23912926E+01   0.23859200E+01   0.35287484E-02   0.21252173E-02   0.45907551E-02   0.15996071E-01  -0.23559941E-02   0.51694620E-04   0.15765050E-01   0.12764760E-03
